Project Name,Method,is_Tested,is_Directly_Tested,Test_Count,Direct_Test_Count,Tested_by,Directly_Tested_By
feign,feign.MethodMetadata.targetType,1,0,39,0,"feign.AsyncFeignTest.customExpander,feign.FeignTest.canOverrideErrorDecoder,feign.FeignTest.customExpander,feign.FeignTest.decodingExceptionGetWrappedInDecode404Mode,feign.FeignTest.headerMap,feign.FeignTest.okIfDecodeRootCauseHasNoMessage,feign.FeignTest.queryMapPojoWithPartialParams,feign.FeignUnderAsyncTest.beanQueryMapEncoderWithPrivateGetterIgnored,feign.FeignUnderAsyncTest.doesntRetryAfterResponseIsSent,feign.FeignUnderAsyncTest.equalsHashCodeAndToStringWork,feign.FeignUnderAsyncTest.responseCoercesToStringBody,feign.client.DefaultClientTest.testPatch,feign.hc5.AsyncApacheHttp5ClientTest.beanQueryMapEncoderWithPrivateGetterIgnored,feign.hc5.AsyncApacheHttp5ClientTest.canOverrideErrorDecoder,feign.hc5.AsyncApacheHttp5ClientTest.customExpander,feign.hc5.AsyncApacheHttp5ClientTest.encodeLogicSupportsByteArray,feign.hc5.AsyncApacheHttp5ClientTest.equalsHashCodeAndToStringWork,feign.hc5.AsyncApacheHttp5ClientTest.headerMapWithHeaderAnnotations,feign.hc5.AsyncApacheHttp5ClientTest.mapAndDecodeExecutesMapFunction,feign.hc5.AsyncApacheHttp5ClientTest.queryMap,feign.hc5.AsyncApacheHttp5ClientTest.throwsFeignExceptionWithoutBody,feign.hc5.AsyncApacheHttp5ClientTest.whenReturnTypeIsResponseNoErrorHandling,feign.hystrix.HystrixBuilderTest.completableFutureFailWithoutFallback,feign.hystrix.HystrixBuilderTest.completableFutureWithBody,feign.hystrix.HystrixBuilderTest.equalsHashCodeAndToStringWork,feign.hystrix.HystrixBuilderTest.errorInFallbackHasExpectedBehavior,feign.hystrix.HystrixBuilderTest.hystrixCommand,feign.hystrix.HystrixBuilderTest.hystrixCommandList,feign.hystrix.HystrixBuilderTest.rxCompletableFallback,feign.hystrix.HystrixBuilderTest.rxCompletableWithBody,feign.hystrix.HystrixBuilderTest.rxObservable,feign.jaxrs2.JAXRS2ContractTest.injectJaxrsInternals,feign.jaxrs2.JAXRSClientTest.noResponseBodyForPatch,feign.metrics4.Metrics4CapabilityTest.addMetricsCapability,feign.reactive.ReactiveFeignIntegrationTest.testDefaultMethodsNotProxied,feign.reactive.ReactiveFeignIntegrationTest.testReactorTargetFull,feign.reactive.ReactiveFeignIntegrationTest.testRequestInterceptor,feign.ribbon.RibbonClientTest.ioExceptionRetry,feign.ribbon.RibbonClientTest.ribbonRetryConfigurationOnMultipleServers",
feign,feign.querymap.BeanQueryMapEncoderTest.NormalObject.getFooAppendBar,0,0,0,0,,
feign,feign.sax.SAXDecoder.builder,0,0,0,0,,
feign,feign.template.UriUtils.isSubDelimiter,1,0,2,0,"feign.mock.MockClientSequentialTest.sequentialRequests,feign.ribbon.RibbonClientTest.urlEncodeQueryStringParameters",
feign,feign.hystrix.HystrixBuilderTest.FallbackTestInterface.intObservable,0,0,0,0,,
feign,feign.Response.Builder.requestTemplate,0,0,0,0,,
feign,feign.codec.DefaultDecoderTest.nullBodyResponse,1,1,1,1,feign.codec.DefaultDecoderTest.testDecodesNullBodyToNull,feign.codec.DefaultDecoderTest.testDecodesNullBodyToNull
feign,feign.http2client.Http2Client.castMapCollectType,0,0,0,0,,
feign,feign.Request.toString,1,1,1,1,feign.ribbon.LBClientTest.testRibbonRequest,feign.ribbon.LBClientTest.testRibbonRequest
feign,feign.soap.SOAPCodecTest.GetPrice.hashCode,0,0,0,0,,
feign,feign.Feign.Builder.queryMapEncoder,0,0,0,0,,
feign,feign.AsyncInvocation.isAsyncReturnType,1,0,26,0,"feign.AsyncFeignTest.beanQueryMapEncoderWithNullValueIgnored,feign.AsyncFeignTest.iterableQueryParams,feign.AsyncFeignTest.postDeflateEncodedBodyParam,feign.AsyncFeignTest.queryMap,feign.AsyncFeignTest.queryMapValueStartingWithBrace,feign.FeignTest.encodedQueryParam,feign.FeignTest.headerMap,feign.FeignTest.okIfDecodeRootCauseHasNoMessage,feign.FeignTest.postTemplateParamsResolve,feign.FeignTest.queryMapPojoWithPartialParams,feign.FeignUnderAsyncTest.beanQueryMapEncoderWithNullValueIgnored,feign.FeignUnderAsyncTest.customExpander,feign.FeignUnderAsyncTest.decodeLogicSupportsByteArray,feign.FeignUnderAsyncTest.doesntRetryAfterResponseIsSent,feign.FeignUnderAsyncTest.headerMap,feign.FeignUnderAsyncTest.headerMapWithHeaderAnnotations,feign.FeignUnderAsyncTest.queryMap,feign.FeignUnderAsyncTest.queryMapPojoWithPartialParams,feign.FeignUnderAsyncTest.responseCoercesToStringBody,feign.FeignUnderAsyncTest.throwsFeignExceptionWithoutBody,feign.hc5.AsyncApacheHttp5ClientTest.customExpander,feign.hc5.AsyncApacheHttp5ClientTest.decodeLogicSupportsByteArray,feign.hc5.AsyncApacheHttp5ClientTest.decodingDoesNotSwallow404ErrorsInDecode404Mode,feign.hc5.AsyncApacheHttp5ClientTest.encodedQueryParam,feign.hc5.AsyncApacheHttp5ClientTest.mapAndDecodeExecutesMapFunction,feign.hc5.AsyncApacheHttp5ClientTest.queryMap",
feign,feign.spring.Data.getContent,1,0,1,0,feign.spring.SpringContractTest.inheritance,
feign,feign.PropertyPojo.setName,1,1,2,2,"feign.FeignTest.beanQueryMapEncoderWithPrivateGetterIgnored,feign.hc5.AsyncApacheHttp5ClientTest.beanQueryMapEncoderWithPrivateGetterIgnored","feign.FeignTest.beanQueryMapEncoderWithPrivateGetterIgnored,feign.hc5.AsyncApacheHttp5ClientTest.beanQueryMapEncoderWithPrivateGetterIgnored"
