Project Name,Overlap Ratio
arrow,0.65
byte-buddy,1.00
cantaloupe,0.90
client_java,0.73
commons-bcel,0.09
crate,0.78
eclipse-collections,0.85
fastjson,0.91
feign,0.87
HdrHistogram,0.77
imglib2,0.89
iri,0.33
jdbi,0.97
jetty.project,0.53
jgrapht,0.70
jooby,0.89
kafka,0.67
logbook,0.86
netty,0.73
objenesis,0.79
panda,0.48
protostuff,0.98
r2dbc-h2,0.98
rdf4j,0.97
RxJava,0.83
SquidLib,0.80
tinkerpop,0.82
vert.x,0.75
