Project Name,Test Name,Count,Direct Count,Methods,Direct Methods
HdrHistogram,org.HdrHistogram.DoubleHistogramDataAccessTest.testGetValueAtPercentile,4,1,",org.HdrHistogram.Histogram.getCountAtIndex,org.HdrHistogram.AbstractHistogram.normalizeIndex,org.HdrHistogram.DoubleHistogram.getValueAtPercentile,org.HdrHistogram.AbstractHistogram.getValueAtPercentile",",org.HdrHistogram.DoubleHistogram.getValueAtPercentile"
HdrHistogram,org.HdrHistogram.DoubleHistogramDataAccessTest.testGetValueAtPercentileForLargeHistogram,3,1,",org.HdrHistogram.Histogram.getCountAtIndex,org.HdrHistogram.AbstractHistogram.normalizeIndex,org.HdrHistogram.AbstractHistogram.getValueAtPercentile,org.HdrHistogram.AbstractHistogram.init",",org.HdrHistogram.AbstractHistogram.init,org.HdrHistogram.AbstractHistogram.getValueAtPercentile"
HdrHistogram,org.HdrHistogram.DoubleHistogramDataAccessTest.testLinearBucketValues,0,0,,
HdrHistogram,org.HdrHistogram.DoubleHistogramDataAccessTest.testLogarithmicBucketValues,16,3,"org.HdrHistogram.Histogram.getCountAtIndex,org.HdrHistogram.AbstractHistogram.valueFromIndex,,org.HdrHistogram.AbstractHistogram.lowestEquivalentValue,org.HdrHistogram.AbstractHistogramIterator.exhaustedSubBuckets,org.HdrHistogram.AbstractHistogram.highestEquivalentValue,org.HdrHistogram.AbstractHistogramIterator.next,org.HdrHistogram.LogarithmicIterator.incrementIterationLevel,org.HdrHistogram.AbstractHistogramIterator.incrementSubBucket,org.HdrHistogram.AbstractHistogram.nextNonEquivalentValue,org.HdrHistogram.DoubleLogarithmicIterator.hasNext,org.HdrHistogram.AbstractHistogram.normalizeIndex,org.HdrHistogram.LogarithmicIterator.reachedIterationLevel,org.HdrHistogram.DoubleHistogram.logarithmicBucketValues,org.HdrHistogram.DoubleLogarithmicIterator.next,org.HdrHistogram.LogarithmicIterator.hasNext,org.HdrHistogram.AbstractHistogram.getSubBucketIndex",",org.HdrHistogram.DoubleLogarithmicIterator.next,org.HdrHistogram.DoubleHistogram.logarithmicBucketValues,org.HdrHistogram.DoubleLogarithmicIterator.hasNext"
HdrHistogram,org.HdrHistogram.DoubleHistogramDataAccessTest.testPercentiles,23,8,",org.HdrHistogram.HistogramIterationValue.getPercentile,org.HdrHistogram.AbstractHistogram.sizeOfEquivalentValueRange,org.HdrHistogram.DoubleHistogram.percentiles,org.HdrHistogram.DoubleHistogramIterationValue.getPercentile,org.HdrHistogram.Histogram.getCountAtIndex,org.HdrHistogram.PercentileIterator.reset,org.HdrHistogram.AbstractHistogram.highestEquivalentValue,org.HdrHistogram.AbstractHistogram.nextNonEquivalentValue,org.HdrHistogram.AbstractHistogram.normalizeIndex,org.HdrHistogram.DoubleHistogram.highestEquivalentValue,org.HdrHistogram.HistogramIterationValue.getPercentileLevelIteratedTo,org.HdrHistogram.HistogramIterationValue.getIntegerToDoubleValueConversionRatio,org.HdrHistogram.AbstractHistogramIterator.incrementSubBucket,org.HdrHistogram.AbstractHistogramIterator.next,org.HdrHistogram.HistogramIterationValue.getValueIteratedFrom,org.HdrHistogram.DoubleHistogramIterationValue.getPercentileLevelIteratedTo,org.HdrHistogram.AbstractHistogram.getSubBucketIndex,org.HdrHistogram.DoubleHistogram.nextNonEquivalentValue,org.HdrHistogram.DoubleHistogramIterationValue.getValueIteratedFrom,org.HdrHistogram.AbstractHistogram.valueFromIndex,org.HdrHistogram.DoublePercentileIterator.next,org.HdrHistogram.AbstractHistogram.lowestEquivalentValue,org.HdrHistogram.DoublePercentileIterator.hasNext,org.HdrHistogram.DoubleHistogram.getValueAtPercentile,org.HdrHistogram.AbstractHistogram.getValueAtPercentile,org.HdrHistogram.AbstractHistogramIterator.getValueIteratedTo",",org.HdrHistogram.DoublePercentileIterator.next,org.HdrHistogram.PercentileIterator.reset,org.HdrHistogram.DoublePercentileIterator.hasNext,org.HdrHistogram.DoubleHistogramIterationValue.getPercentileLevelIteratedTo,org.HdrHistogram.DoubleHistogram.percentiles,org.HdrHistogram.DoubleHistogram.getValueAtPercentile,org.HdrHistogram.DoubleHistogram.highestEquivalentValue,org.HdrHistogram.DoubleHistogramIterationValue.getValueIteratedFrom,org.HdrHistogram.DoubleHistogramIterationValue.getPercentile"
HdrHistogram,org.HdrHistogram.DoubleHistogramDataAccessTest.testPreVsPostCorrectionValues,0,0,,
HdrHistogram,org.HdrHistogram.DoubleHistogramDataAccessTest.testRecordedValues,17,4,",org.HdrHistogram.DoubleRecordedValuesIterator.hasNext,org.HdrHistogram.DoubleHistogram.recordedValues,org.HdrHistogram.Histogram.getCountAtIndex,org.HdrHistogram.Histogram.getTotalCount,org.HdrHistogram.AbstractHistogram.highestEquivalentValue,org.HdrHistogram.AbstractHistogram.nextNonEquivalentValue,org.HdrHistogram.AbstractHistogram.normalizeIndex,org.HdrHistogram.RecordedValuesIterator.reachedIterationLevel,org.HdrHistogram.AbstractHistogramIterator.hasNext,org.HdrHistogram.AbstractHistogramIterator.incrementSubBucket,org.HdrHistogram.AbstractHistogramIterator.next,org.HdrHistogram.DoubleHistogramIterationValue.getCountAtValueIteratedTo,org.HdrHistogram.DoubleRecordedValuesIterator.next,org.HdrHistogram.AbstractHistogram.getSubBucketIndex,org.HdrHistogram.AbstractHistogram.valueFromIndex,org.HdrHistogram.AbstractHistogram.lowestEquivalentValue,org.HdrHistogram.AbstractHistogramIterator.exhaustedSubBuckets,org.HdrHistogram.HistogramIterationValue.getCountAtValueIteratedTo,org.HdrHistogram.AbstractHistogramIterator.getValueIteratedTo",",org.HdrHistogram.DoubleRecordedValuesIterator.hasNext,org.HdrHistogram.DoubleRecordedValuesIterator.next,org.HdrHistogram.DoubleHistogramIterationValue.getCountAtValueIteratedTo,org.HdrHistogram.DoubleHistogram.recordedValues"
HdrHistogram,org.HdrHistogram.DoubleHistogramDataAccessTest.testScalingEquivalence,0,0,,
HdrHistogram,org.HdrHistogram.DoubleHistogramTest.equalsWillNotThrowClassCastException,2,1,",org.HdrHistogram.AbstractHistogram.numberOfSubbuckets,org.HdrHistogram.DoubleHistogram.deriveIntegerValueRange",",org.HdrHistogram.DoubleHistogram.deriveIntegerValueRange"
HdrHistogram,org.HdrHistogram.DoubleHistogramTest.testAdd,0,0,,
